date,close
2021-12-07,591.95
2021-12-08,580.15
2021-12-09,569.33
2021-12-10,559.99
2021-12-11,562.05
2021-12-12,526.12
2021-12-13,517.34
2021-12-14,503.01
2021-12-15,539.68
2021-12-16,524.92
2021-12-17,530.53
2021-12-18,533.54
2021-12-19,511.21
2021-12-20,524.91
2021-12-21,540.79
2021-12-22,529.32
2021-12-23,547.83
2021-12-24,545.46
2021-12-25,543.09
2021-12-26,557.9
2021-12-27,547.77
2021-12-28,529.8
2021-12-29,518.56
2021-12-30,521.99
2021-12-31,518.7
2022-01-01,526.09
2022-01-02,527.47
2022-01-03,515.54
2022-01-04,512.5
2022-01-05,472.44
2022-01-06,445.16
2022-01-07,447.94
2022-01-08,430.0
2022-01-09,416.06
2022-01-10,452.33
2022-01-11,482.05
2022-01-12,474.0
2022-01-13,481.29
2022-01-14,500.02
2022-01-15,501.4
2022-01-16,471.47
2022-01-17,461.05
2022-01-18,466.3
2022-01-19,473.13
2022-01-20,422.64
2022-01-21,356.55
2022-01-22,371.05
2022-01-23,351.38
2022-01-24,371.28
2022-01-25,391.97
2022-01-26,374.0
2022-01-27,383.96
2022-01-28,383.25
2022-01-29,380.91
2022-01-30,378.75
2022-01-31,383.22
2022-02-01,371.1
2022-02-02,368.19
2022-02-03,382.21
2022-02-04,421.76
2022-02-05,411.08
2022-02-06,438.04
2022-02-07,418.34
2022-02-08,421.02
2022-02-09,424.99
2022-02-10,415.24
2022-02-11,397.83
2022-02-12,403.91
2022-02-13,401.2
2022-02-14,432.21
2022-02-15,425.0
2022-02-16,413.65
2022-02-17,395.19
2022-02-18,399.96
2022-02-19,380.1
2022-02-20,379.14
2022-02-21,366.75
2022-02-22,378.6
2022-02-23,345.31
2022-02-24,369.75
2022-02-25,375.3
2022-02-26,375.46
2022-02-27,382.69
2022-02-28,404.63
2022-03-01,408.82
2022-03-02,402.23
2022-03-03,387.12
2022-03-04,379.92
2022-03-05,380.78
2022-03-06,381.88
2022-03-07,382.96
2022-03-08,397.35
2022-03-09,365.4
2022-03-10,372.81
2022-03-11,377.09
2022-03-12,370.92
2022-03-13,368.06
2022-03-14,368.51
2022-03-15,378.45
2022-03-16,387.36
2022-03-17,393.33
2022-03-18,403.16
2022-03-19,390.39
2022-03-20,398.77
2022-03-21,406.21
2022-03-22,409.59
2022-03-23,414.27
2022-03-24,413.07
2022-03-25,413.16
2022-03-26,417.04
2022-03-27,436.49
2022-03-28,434.38
2022-03-29,439.08
2022-03-30,434.11
2022-03-31,441.08
2022-04-01,442.61
2022-04-02,447.43
2022-04-03,438.21
2022-04-04,449.36
2022-04-05,426.87
2022-04-06,431.95
2022-04-07,430.69
2022-04-08,420.95
2022-04-09,422.31
2022-04-10,399.27
2022-04-11,412.56
2022-04-12,417.84
2022-04-13,412.4
2022-04-14,418.03
2022-04-15,412.6
2022-04-16,416.88
2022-04-17,406.2
2022-04-18,419.88
2022-04-19,421.65
2022-04-20,420.54
2022-04-21,406.41
2022-04-22,406.31
2022-04-23,401.75
2022-04-24,394.03
2022-04-25,388.14
2022-04-26,388.95
2022-04-27,402.31
2022-04-28,398.43
2022-04-29,393.75
2022-04-30,389.4
2022-05-01,388.12
2022-05-02,386.71
2022-05-03,393.66
2022-05-04,380.99
2022-05-05,379.28
2022-05-06,376.09
2022-05-07,356.18
2022-05-08,324.7
2022-05-09,320.7
2022-05-10,288.32
2022-05-11,272.41
2022-05-12,301.95
2022-05-13,277.91
2022-05-14,297.83
2022-05-15,295.75
2022-05-16,303.4
2022-05-17,291.47
2022-05-18,306.88
2022-05-19,299.03
2022-05-20,311.83
2022-05-21,316.73
2022-05-22,333.8
2022-05-23,322.23
2022-05-24,327.61
2022-05-25,313.23
2022-05-26,302.5
2022-05-27,307.49
2022-05-28,303.32
2022-05-29,313.94
2022-05-30,321.39
2022-05-31,305.14
2022-06-01,303.33
2022-06-02,295.46
2022-06-03,301.29
2022-06-04,299.0
2022-06-05,303.4
2022-06-06,282.82
2022-06-07,292.61
2022-06-08,290.66
2022-06-09,290.69
2022-06-10,268.54
2022-06-11,264.1
2022-06-12,224.16
2022-06-13,227.88
2022-06-14,212.74
2022-06-15,215.56
2022-06-16,215.94
2022-06-17,198.65
2022-06-18,209.35
2022-06-19,217.73
2022-06-20,225.22
2022-06-21,215.09
2022-06-22,222.65
2022-06-23,235.2
2022-06-24,230.78
2022-06-25,239.84
2022-06-26,234.08
2022-06-27,234.76
2022-06-28,218.47
2022-06-29,212.5
2022-06-30,215.0
2022-07-01,215.96
2022-07-02,214.57
2022-07-03,225.76
2022-07-04,225.22
2022-07-05,236.39
2022-07-06,240.44
2022-07-07,242.44
2022-07-08,242.51
2022-07-09,232.99
2022-07-10,231.61
2022-07-11,226.38
2022-07-12,222.69
2022-07-13,236.31
2022-07-14,237.91
2022-07-15,239.76
2022-07-16,251.15
2022-07-17,264.08
2022-07-18,263.77
2022-07-19,269.81
